ID,Purchase-date,Date,Time,Quarter,Qtr,Year,Month,Date_1,Special Day,Online Sale Offers ,Day,Weekend,Morning,Afternoon,Evening,Night,Gender,Customer ID,"Gender
F=1665
M=1815",Product-Name,Item-Status,Quantity,Currency,Item Price,Shipping-Price,Ship-City,Ship-State,Ship-Postal-Code,Category,"Total_
amount",Author ,Publication,"Profit Percentage
 (%)",Profit (INR),Cost Price
11,06/01/2018 06:28,01/06/2018,06:28:00,2018 - Q1,1,2018,1,6,0,0,6,1,1,0,0,0,0,B07FWXSVW,M,A Textbook of Microbiology,Shipped,1,INR,543,85,MAUNATH BHANJAN,UTTAR PRADESH,275103,college,628,D. K. Maheshwari, Arise Publishers & Distributors ,13,70.59,472.41
12,06/01/2018 13:52,01/06/2018,13:52:00,2018 - Q1,1,2018,1,6,0,0,6,1,0,1,0,0,0,B07FWYXQQ,M,A Textbook of Microbiology,Shipped,1,INR,543,85,DHARMANAGAR,TRIPURA,799250,college,628,D. K. Maheshwari, Arise Publishers & Distributors ,13,70.59,472.41
13,06/01/2018 14:41,01/06/2018,14:41:00,2018 - Q1,1,2018,1,6,0,0,6,1,0,1,0,0,1,B07FWYXZX,F,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),Shipped,1,INR,645,85,BHUBANESWAR,ODISHA,751024,college,730,Dr.H.L.AHUJA,S.Chand (G/L) & Company Ltd,13,83.85,561.15
14,07/01/2018 06:01,01/07/2018,06:01:00,2018 - Q1,1,2018,1,7,0,0,7,1,1,0,0,0,0,B07FWYVTZ,M,A Text Book of Optics,Shipped,1,INR,565,85,NAVI MUMBAI,MAHARASHTRA,400706,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
15,07/01/2018 06:41,01/07/2018,06:41:00,2018 - Q1,1,2018,1,7,0,0,7,1,1,0,0,0,0,B07FWVYWQ,M,A Textbook of Microbiology,Shipped,1,INR,543,85,AJMER,RAJASTHAN,305801,college,628,D. K. Maheshwari, Arise Publishers & Distributors ,13,70.59,472.41
16,07/01/2018 16:22,01/07/2018,16:22:00,2018 - Q1,1,2018,1,7,0,0,7,1,0,0,1,0,1,B07FWYTRU,F,Database System Concepts (Int'l Ed),Shipped,1,INR,999,85,SURAT,GUJARAT,395007,college,1084,Avi Silberschatz,McGraw-Hill,13,129.87,869.13
17,08/01/2018 06:50,01/08/2018,06:50:00,2018 - Q1,1,2018,1,8,0,0,1,0,1,0,0,0,1,B07FWXWVY,F,Database System Concepts (Int'l Ed),Shipped,1,INR,999,85,SHIMLA,HIMACHAL PRADESH,171001,college,1084,Avi Silberschatz,McGraw-Hill,13,129.87,869.13
18,08/01/2018 10:42,01/08/2018,10:42:00,2018 - Q1,1,2018,1,8,0,0,1,0,1,0,0,0,1,B07FWXSZQ,F,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,INR,610,85,NAGPUR,MAHARASHTRA,440016,competition ,695,T K V Iyengar,ZONE TECH Publications ,17,103.7,506.3
19,08/01/2018 10:44,01/08/2018,10:44:00,2018 - Q1,1,2018,1,8,0,0,1,0,1,0,0,0,1,B07FWYZWR,F,ESE 2020 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,INR,450,85,BENGALURU,KARNATAKA,560037,competition ,535,Made Easy Editorial Board,Made Easy Publications,17,76.5,373.5
20,08/01/2018 13:09,01/08/2018,13:09:00,2018 - Q1,1,2018,1,8,0,0,1,0,0,1,0,0,0,B07FWWWZU,M,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,INR,640,85,BENGALURU,KARNATAKA,560074,competition ,725,Team of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
21,08/01/2018 15:02,01/08/2018,15:02:00,2018 - Q1,1,2018,1,8,0,0,1,0,0,1,0,0,0,B07FWVVTW,M,A Text Book of Optics,Shipped,1,INR,565,85,BENGALURU,KARNATAKA,560087,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
22,08/01/2018 19:04,01/08/2018,19:04:00,2018 - Q1,1,2018,1,8,0,0,1,0,0,0,1,0,1,B07FWYWQV,F,ESE 2020 Mains Examination: Civil Engineering - Conventional Solved Papers - Paper - 1,Shipped,1,INR,690,85,NASHIK,MAHARASHTRA,422013,competition ,775,Made Easy,Made Easy Publications,17,117.3,572.7
23,09/01/2018 04:00,01/09/2018,04:00:00,2018 - Q1,1,2018,1,9,0,0,2,0,0,0,0,1,0,B07FWXVXV,M,Database System Concepts (Int'l Ed),Shipped,1,INR,999,85,BENGALURU,KARNATAKA,560071,college,1084,Avi Silberschatz,McGraw-Hill,13,129.87,869.13
24,09/01/2018 09:08,01/09/2018,09:08:00,2018 - Q1,1,2018,1,9,0,0,2,0,1,0,0,0,1,B07FWWUVR,F,Uchchatar Aarthik Siddhanth,Shipped,1,INR,485,85,NEW DELHI,DELHI,110039,college,570,H. L. Ahuja,S. Chand Publishing,13,63.05,421.95
25,09/01/2018 11:30,01/09/2018,11:30:00,2018 - Q1,1,2018,1,9,0,0,2,0,1,0,0,0,1,B07FWXUQW,F,"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)",Shipped,1,INR,1480,85,ERODE,TAMIL NADU,638011,college,1565,B D Chaurasia,CBS PUBLISHERS &DISTRIBUTORS,13,192.4,1287.6
26,09/01/2018 11:49,01/09/2018,11:49:00,2018 - Q1,1,2018,1,9,0,0,2,0,1,0,0,0,1,B07FWXSXX,F,"Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)",Shipped,1,INR,1480,85,TIRUCHIRAPPALLI,TAMIL NADU,620012,college,1565,B D Chaurasia,CBS PUBLISHERS &DISTRIBUTORS,13,192.4,1287.6
27,09/01/2018 12:45,01/09/2018,12:45:00,2018 - Q1,1,2018,1,9,0,0,2,0,0,1,0,0,0,B07FWWTSR,M,English Grammar for Today: A New Introduction,Shipped,1,INR,959,85,MUMBAI,MAHARASHTRA,401101,School,1044,Geoffrey Leech,Palgrave Macmillan,18,172.62,786.38
28,10/01/2018 08:06,01/10/2018,08:06:00,2018 - Q1,1,2018,1,10,0,0,3,0,1,0,0,0,0,B07FWWWVX,M,Chronicle Year Book 2020 (English),Shipped,1,INR,260,85,JORHAT,ASSAM,785001,competition ,345,Nn Ojha,Chronicle Publications Pvt Ltd,17,44.2,215.8
29,10/01/2018 09:37,01/10/2018,09:37:00,2018 - Q1,1,2018,1,10,0,0,3,0,1,0,0,0,0,B07FWVVTS,M,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,INR,610,85,GURGAON,HARYANA,122015,competition ,695,T K V Iyengar,ZONE TECH Publications ,17,103.7,506.3
30,10/01/2018 10:20,01/10/2018,10:20:00,2018 - Q1,1,2018,1,10,0,0,3,0,1,0,0,0,0,B07FWXWYU,M,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,INR,610,85,SALEM,TAMIL NADU,636306,competition ,695,T K V Iyengar,ZONE TECH Publications ,17,103.7,506.3
31,11/01/2018 06:10,01/11/2018,06:10:00,2018 - Q1,1,2018,1,11,0,0,4,0,1,0,0,0,1,B07FWYTVQ,F,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics,Shipped,1,INR,200,85,ERNAKULAM,KERALA,682015,competition ,285, Amit M Agarwal, Arihant  (Publication),17,34,166
32,11/01/2018 07:19,01/11/2018,07:19:00,2018 - Q1,1,2018,1,11,0,0,4,0,1,0,0,0,1,B07FWVWYU,F,Database Systems Concepts,Shipped,1,INR,910,85,HANUMANGARH,RAJASTHAN,335512,college,995,S. Sudarshan,McGraw-Hill,13,118.3,791.7
33,11/01/2018 18:23,01/11/2018,18:23:00,2018 - Q1,1,2018,1,11,0,0,4,0,0,0,1,0,0,B07FWYYST,M,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,INR,610,85,BILASPUR,CHHATTISGARH,495001,competition ,695,T K V Iyengar,ZONE TECH Publications ,17,103.7,506.3
34,12/01/2018 02:39,01/12/2018,02:39:00,2018 - Q1,1,2018,1,12,0,0,5,0,0,0,0,1,1,B07FWWBVW,F,Public Finance,Shipped,1,INR,465,85,secunderabad,Telangana,500100,college,550,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
35,12/01/2018 04:30,01/12/2018,04:30:00,2018 - Q1,1,2018,1,12,0,0,5,0,0,0,0,1,1,B07FWWTSZ,F,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,INR,610,85,PARATAPPUR,CHHATTISGARH,497223,competition ,695,T K V Iyengar,ZONE TECH Publications ,17,103.7,506.3
36,12/01/2018 05:26,01/12/2018,05:26:00,2018 - Q1,1,2018,1,12,0,0,5,0,0,0,0,1,1,B07FWWTWR,F,Database System Concepts (Int'l Ed),Shipped,1,INR,999,85,KOTDWARA,UTTARAKHAND,246149,college,1084,Avi Silberschatz,McGraw-Hill,13,129.87,869.13
37,12/01/2018 05:56,01/12/2018,05:56:00,2018 - Q1,1,2018,1,12,0,0,5,0,0,0,0,1,1,B07FWVYWZ,F,English Grammar for Today: A New Introduction,Shipped,1,INR,959,85,NAVI MUMBAI,MAHARASHTRA,400706,School,1044,Geoffrey Leech,Palgrave Macmillan,18,172.62,786.38
38,12/01/2018 07:09,01/12/2018,07:09:00,2018 - Q1,1,2018,1,12,0,0,5,0,1,0,0,0,1,B07FWWBQX,F,Political Theory,Shipped,1,INR,425,85,GREATER NOIDA,UTTAR PRADESH,201306,college,510,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
39,12/01/2018 07:50,01/12/2018,07:50:00,2018 - Q1,1,2018,1,12,0,0,5,0,1,0,0,0,1,B07FWXYZS,F,Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA),Shipped,1,INR,645,85,MUMBAI,MAHARASHTRA,400005,college,730,Dr.H.L.AHUJA,S.Chand (G/L) & Company Ltd,13,83.85,561.15
40,12/01/2018 07:57,01/12/2018,07:57:00,2018 - Q1,1,2018,1,12,0,0,5,0,1,0,0,0,1,B07FWVBUV,F,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1,Shipped,1,INR,610,85,KHAMMAM,TELANGANA,507002,competition ,695,T K V Iyengar,ZONE TECH Publications ,17,103.7,506.3
41,12/01/2018 07:57,01/12/2018,07:57:00,2018 - Q1,1,2018,1,12,0,0,5,0,1,0,0,0,1,B07FWYUWS,F,ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2,Shipped,1,INR,615,85,KHAMMAM,TELANGANA,507002,competition ,700,Made Easy Editorial Board,Made Easy Publication,17,104.55,510.45
42,12/01/2018 09:45,01/12/2018,09:45:00,2018 - Q1,1,2018,1,12,0,0,5,0,1,0,0,0,0,B07FWYVTY,M,Public Finance,Shipped,1,INR,465,85,DEHRADUN,UTTARAKHAND,248001,college,550,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
43,13/01/2018 03:23,1/13/2018,03:23:00,2018 - Q1,1,2018,1,13,0,0,6,1,0,0,0,1,1,B07FWXWXW,F,Political Theory,Shipped,1,INR,425,85,HYDERABAD,TELANGANA,500039,college,510,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
44,13/01/2018 05:29,1/13/2018,05:29:00,2018 - Q1,1,2018,1,13,0,0,6,1,0,0,0,1,1,B07FWWWZV,F,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,INR,768,85,KOTTAYAM,KERALA,686544,competition ,853,Arihant Expert,Arihant Publications,17,130.56,637.44
45,13/01/2018 10:50,1/13/2018,10:50:00,2018 - Q1,1,2018,1,13,0,0,6,1,1,0,0,0,0,B07FWXYTR,M,ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,INR,640,85,AMRAVATI,MAHARASHTRA,444607,competition ,725,Team of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
46,14/01/2018 11:05,1/14/2018,11:05:00,2018 - Q1,1,2018,1,14,0,0,7,1,1,0,0,0,1,B07FWXBXU,F,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry,Shipped,1,INR,175,85,NAGPUR,MAHARASHTRA,440001,competition ,260, Ranjeet Shahi ,Arihant Publications,17,29.75,145.25
47,14/01/2018 13:38,1/14/2018,13:38:00,2018 - Q1,1,2018,1,14,0,0,7,1,0,1,0,0,0,B07FWXYVT,M,English Grammar for Today: A New Introduction,Shipped,1,INR,959,85,PALI,RAJASTHAN,306502,School,1044,Geoffrey Leech,Palgrave Macmillan,18,172.62,786.38
48,15/01/2018 01:57,1/15/2018,01:57:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,0,1,0,B07FWYBZQ,M,39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry,Shipped,1,INR,175,85,TIRUPPUR,TAMIL NADU,641603,competition ,260, Ranjeet Shahi ,Arihant Publications,17,29.75,145.25
49,15/01/2018 03:15,1/15/2018,03:15:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,0,1,1,B07FWYTZV,F,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,UDHAM SINGH NAGAR,UTTARAKHAND,263153,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
50,15/01/2018 03:40,1/15/2018,03:40:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,0,1,0,B07FWXYYR,M,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,INR,768,85,COIMBATORE,TAMIL NADU,641041,competition ,853,Arihant Expert,Arihant Publications,17,130.56,637.44
51,15/01/2018 03:59,1/15/2018,03:59:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,0,1,1,B07FWXVVT,F,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,INR,768,85,VIRAR WEST,MAHARASHTRA,401303,competition ,853,Arihant Expert,Arihant Publications,17,130.56,637.44
52,15/01/2018 04:33,1/15/2018,04:33:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,0,1,0,B07FWWBRT,M,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,INR,768,85,KOTA,RAJASTHAN,324005,competition ,853,Arihant Expert,Arihant Publications,17,130.56,637.44
53,15/01/2018 04:48,1/15/2018,04:48:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,0,1,1,B07FWWSZU,F,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,BHILAI,CHHATTISGARH,490011,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
54,15/01/2018 05:39,1/15/2018,05:39:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,0,1,0,B07FWXYYW,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,KADAPA,ANDHRA PRADESH,516001,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
55,15/01/2018 10:54,1/15/2018,10:54:00,2018 - Q1,1,2018,1,15,0,0,1,0,1,0,0,0,0,B07FWWWQW,M,Public Finance,Shipped,1,INR,465,85,KISHANGARH,RAJASTHAN,305801,college,550,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
56,15/01/2018 11:18,1/15/2018,11:18:00,2018 - Q1,1,2018,1,15,0,0,1,0,1,0,0,0,0,B07FWWAXS,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,BILASPUR,CHATTISGARH,495001,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
57,15/01/2018 13:57,1/15/2018,13:57:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,1,0,0,0,B07FWYTUW,M,Political Theory,Shipped,1,INR,425,85,JORHAT,ASSAM,785001,college,510,Dr. Mohinder Slariya ,S. Vinesh & Co,13,55.25,369.75
58,15/01/2018 14:36,1/15/2018,14:36:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,1,0,0,0,B07FWYYYR,M,COMPREHENSIVE TEXTBOOK OF MEDICAL PHYSIOLOGY (2VOLS),Shipped,1,INR,1250,85,NEW DELHI,DELHI,110062,college,1335,G K Pal,Jaypee Brothers,13,162.5,1087.5
59,15/01/2018 15:47,1/15/2018,15:47:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,1,0,0,0,B07FWWAZW,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,NAVI MUMBAI,MAHARASHTRA,400709,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
60,15/01/2018 17:46,1/15/2018,17:46:00,2018 - Q1,1,2018,1,15,0,0,1,0,0,0,1,0,1,B07FWXXVY,F,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,MUMBAI,MAHARASHTRA,400076,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
61,16/01/2018 13:54,1/16/2018,13:54:00,2018 - Q1,1,2018,1,16,0,0,2,0,0,1,0,0,0,B07FWYVTV,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,JORHAT,ASSAM,785001,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
62,17/01/2018 04:18,1/17/2018,04:18:00,2018 - Q1,1,2018,1,17,0,0,3,0,0,0,0,1,1,B07FWYBZU,F,Public Finance,Shipped,1,INR,465,85,MOTIHARI,BIHAR,845401,college,550,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
63,17/01/2018 08:25,1/17/2018,08:25:00,2018 - Q1,1,2018,1,17,0,0,3,0,1,0,0,0,0,B07FWWSXY,M,Public Finance,Shipped,1,INR,465,85,BINOLA INDUSTRIAL AREA,HARYANA,122413,college,550,Dr H L Bhatia,Vikas Publishing,13,60.45,404.55
64,17/01/2018 11:53,1/17/2018,11:53:00,2018 - Q1,1,2018,1,17,0,0,3,0,1,0,0,0,1,B07FWYYWW,F,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,NARSINGHPUR,MADHYA PRADESH,487770,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
65,17/01/2018 15:44,1/17/2018,15:44:00,2018 - Q1,1,2018,1,17,0,0,3,0,0,1,0,0,0,B07FWXAZU,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,BAGRU,RAJASTHAN,303007,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
66,17/01/2018 18:52,1/17/2018,18:52:00,2018 - Q1,1,2018,1,17,0,0,3,0,0,0,1,0,0,B07FWWTTS,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,BALOTRA,RAJASTHAN,344022,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
67,18/01/2018 10:08,1/18/2018,10:08:00,2018 - Q1,1,2018,1,18,0,0,4,0,1,0,0,0,0,B07FWWYZZ,M,39 Years' Chapterwise Topicwise Solved Papers IIT JEE MAIN (2020-1979) Combo Pack 3 Books Sets (Mathematics Chemistry Physics),Shipped,1,INR,680,85,PUNE,MAHARASHTRA,411011,competition ,765,Arihant Expert,Arihant Publications,17,115.6,564.4
68,18/01/2018 20:08,1/18/2018,20:08:00,2018 - Q1,1,2018,1,18,0,0,4,0,0,0,0,1,0,B07FWVXYS,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,NEW DELHI,DELHI,110009,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
69,19/01/2018 20:08,1/19/2018,20:08:00,2018 - Q1,1,2018,1,19,0,0,5,0,0,0,0,1,0,B07FWWTTS,M,Ordinary and Partial Differential Equations,Shipped,1,INR,899,85,BALOTRA,RAJASTHAN,344022,college,984, M.D. Raisinghania,S. Chand Publishing,13,116.87,782.13
70,20/01/2018 05:10,1/20/2018,05:10:00,2018 - Q1,1,2018,1,20,0,0,6,1,0,0,0,1,1,B07FWYAZW,F,Surveying - Vol. 2,Shipped,1,INR,494,85,PAURI,UTTARAKHAND,246001,college,579,Duggal ,McGraw Hill Education,13,64.22,429.78
71,20/01/2018 09:18,1/20/2018,09:18:00,2018 - Q1,1,2018,1,20,0,0,6,1,1,0,0,0,0,B07FWWYTX,M,A Text Book of Optics,Shipped,1,INR,565,85,SILCHAR,ASSAM,788007,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
72,20/01/2018 13:13,1/20/2018,13:13:00,2018 - Q1,1,2018,1,20,0,0,6,1,0,1,0,0,1,B07FWWZUT,F,Shigley's Mechanical Engineering Design - SIE,Shipped,1,INR,757,85,KHARAGPUR,WEST BENGAL,721302,college,842,Richard G Budynas; J Keith Nisbett ,McGraw Hill Education,13,98.41,658.59
73,20/01/2018 15:17,1/20/2018,15:17:00,2018 - Q1,1,2018,1,20,0,0,6,1,0,1,0,0,1,B07FWVWUR,F,"Microwave Devices and Circuits, 3e",Shipped,1,INR,308,85,BURLA,ODISHA,768018,college,393,Liao Yiwu ,Pearson Education India,13,40.04,267.96
74,21/01/2018 02:35,1/21/2018,02:35:00,2018 - Q1,1,2018,1,21,0,0,7,1,0,0,0,1,0,B07FWYVSS,M,Shigley's Mechanical Engineering Design - SIE,Shipped,1,INR,757,85,NAGPUR,MAHARASHTRA,440010,college,842,Richard G Budynas; J Keith Nisbett ,McGraw Hill Education,13,98.41,658.59
75,21/01/2018 16:01,1/21/2018,16:01:00,2018 - Q1,1,2018,1,21,0,0,7,1,0,0,1,0,0,B07FWXSRX,M,"39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics",Shipped,1,INR,768,85,Jamnagar,GUJARAT,361008,competition ,853,Arihant Expert,Arihant Publications,17,130.56,637.44
76,21/01/2018 16:47,1/21/2018,16:47:00,2018 - Q1,1,2018,1,21,0,0,7,1,0,0,1,0,1,B07FWYWVV,F,ESE 2018 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,INR,640,85,CHENNAI,TAMIL NADU,600094,competition ,725,Team of Engineers Academy, Engineers Academy Publication,17,108.8,531.2
77,22/01/2018 06:42,1/22/2018,06:42:00,2018 - Q1,1,2018,1,22,0,0,1,0,1,0,0,0,0,B07FWXYRV,M,ESE 2020 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2,Shipped,1,INR,450,85,BENGALURU,KARNATAKA,560045,competition ,535,Made Easy Editorial Board,Made Easy Publications,17,76.5,373.5
78,22/01/2018 07:43,1/22/2018,07:43:00,2018 - Q1,1,2018,1,22,0,0,1,0,1,0,0,0,0,B07FWWTZX,M,Cracking the CSAT Paper-2,Shipped,1,INR,595,85,MUMBAI,MAHARASHTRA,400053,competition ,680,Arihant Expert,Arihant Publications,17,101.15,493.85
79,22/01/2018 08:11,1/22/2018,08:11:00,2018 - Q1,1,2018,1,22,0,0,1,0,1,0,0,0,1,B07FWWVWY,F,A Text Book of Optics,Shipped,1,INR,565,85,NEW DELHI,DELHI,110016,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
80,22/01/2018 09:36,1/22/2018,09:36:00,2018 - Q1,1,2018,1,22,0,0,1,0,1,0,0,0,1,B07FWXTVZ,F,A Text Book of Optics,Shipped,1,INR,565,85,CHINNALAPATTI,TAMIL NADU,624302,college,650,N Subrahmanyam,S. Chand Publishing,13,73.45,491.55
81,22/01/2018 10:13,1/22/2018,10:13:00,2018 - Q1,1,2018,1,22,0,0,1,0,1,0,0,0,1,B07FWXSZV,F,Cracking the CSAT Paper-2,Shipped,1,INR,595,85,THIRUVANANTHAPURAM,KERALA,695001,competition ,680,Arihant Expert,Arihant Publications,17,101.15,493.85
